id;receita_codigo;receita_descricao;receita_data_ocorrencia;receita_valor;dia;mes;ano;valor_mes;valor_ano;valor_receita_ano;valor_receita_mes;valor_consolidado_mes;valor_consolidado_ano;codigo_conta_contabil;descricao_conta_contabil;data_atualizacao;valor_jan;valor_fev;valor_mar;valor_abr;valor_mai;valor_jun;valor_jul;valor_ago;valor_set;valor_out;valor_nov;valor_dez
191793;741112043101010000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - PRÓPRIO;2010-01-01;4361394.65;1;1;2010;0.00;4361394.65;4361394.65;0.00;0.00;4361394.65;741112043101010000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - PRÓPRIO;2016-05-06T09:20:59.529356;847587.28;299615.75;298438.49;365251.74;278396.88;379575.63;443853.15;412663.89;409467.70;380371.62;244562.47;1610.05
191794;741112043101010000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - PRÓPRIO;2013-01-01;11991160.80;1;1;2013;0.00;11991160.80;11991160.80;0.00;0.00;11991160.80;741112043101010000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - PRÓPRIO;2016-05-06T09:20:59.535206;697073.03;221679.49;1159547.42;825819.05;1022116.18;891163.02;1335498.27;893463.47;959363.84;889670.06;839528.80;2256238.17
191795;741112043101010000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - PRÓPRIO;2011-01-01;6378578.64;1;1;2011;0.00;6378578.64;6378578.64;0.00;0.00;6378578.64;741112043101010000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - PRÓPRIO;2016-05-06T09:20:59.541259;371455.90;951636.85;397772.87;398459.60;377555.92;414761.78;598931.91;453990.16;580446.05;496813.73;477333.13;859420.74
191796;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2013-01-01;4996317.06;1;1;2013;0.00;4996317.06;4996317.06;0.00;0.00;4996317.06;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2016-05-06T09:20:59.546888;290447.10;92366.46;483144.76;344091.28;425881.74;371317.92;556457.62;372276.45;399734.94;370695.87;349803.68;940099.24
191797;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2014-01-01;6169701.30;1;1;2014;0.00;6169701.30;6169701.30;0.00;0.00;6169701.30;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2016-05-06T09:20:59.552862;2447.53;436458.74;439860.18;395115.58;570390.85;451768.61;726314.61;340362.53;450189.06;476188.52;458539.79;1422065.30
191798;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2011-01-01;2657741.13;1;1;2011;0.00;2657741.13;2657741.13;0.00;0.00;2657741.13;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2016-05-06T09:20:59.557900;154773.29;396515.36;165738.70;166024.85;157314.97;172817.41;249554.96;189162.57;241852.52;207005.72;198888.81;358091.97
191799;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2012-01-01;3095696.18;1;1;2012;0.00;3095696.18;3095696.18;0.00;0.00;3095696.18;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2016-05-06T09:20:59.563455;91268.00;253734.33;196525.71;236956.31;265428.37;286987.97;333710.77;245673.05;251628.29;245162.80;244175.26;444445.32
191800;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2010-01-01;1817246.39;1;1;2010;0.00;1817246.39;1817246.39;0.00;0.00;1817246.39;741112043101020000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - MDE;2016-05-06T09:20:59.569090;353161.37;124839.90;124348.13;152188.23;115998.70;158156.34;184938.82;171943.29;170611.54;158488.18;101901.04;670.85
847256;84999102;TERCEIRIZAÇÃO DA FOLHA DE PAGAMENTO;2018-01-01;18000000.00;1;1;2018;0.00;18000000.00;18000000.00;0.00;0.00;18000000.00;2675;TERCEIRIZAÇÃO DA FOLHA DE PAGAMENTO;2021-06-01T14:45:47.434728;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00;18000000.00
191801;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2014-01-01;3701820.73;1;1;2014;0.00;3701820.73;3701820.73;0.00;0.00;3701820.73;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2016-05-06T09:20:59.574667;1468.51;261875.25;263916.10;237069.34;342234.51;271061.16;435788.75;204217.52;270113.44;285713.11;275123.87;853239.17
191802;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2013-01-01;2996936.58;1;1;2013;0.00;2996936.58;2996936.58;0.00;0.00;2996936.58;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2016-05-06T09:20:59.580689;174268.26;54566.25;289886.86;206454.76;255529.05;222790.75;333874.56;223365.86;239840.96;222417.52;209882.21;564059.54
191803;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2012-01-01;1858027.91;1;1;2012;0.00;1858027.91;1858027.91;0.00;0.00;1858027.91;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2016-05-06T09:20:59.586599;54760.80;152240.61;119619.64;142173.78;159257.02;172192.77;200226.45;147403.83;150976.97;147097.68;146505.16;265573.20
191804;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2010-01-01;1090344.84;1;1;2010;0.00;1090344.84;1090344.84;0.00;0.00;1090344.84;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2016-05-06T09:20:59.592470;211893.82;74903.94;74608.88;91312.93;69599.23;94893.80;110963.29;103165.99;102366.93;95092.90;61140.62;402.51
